2,Lysara Karstark,N/A,N/A,N/A,N/A,Artos Stark,153
3,Lorra Royce,N/A,N/A,N/A,N/A,Beron Stark,152
4,Alys Karstark,Rickard Karstark,157,N/A,N/A,Brandon Stark,160
5,Marna Locke,N/A,N/A,N/A,N/A,Edwyle Stark,156
6,Arya Flint,N/A,N/A,N/A,N/A,Rodrik Stark,154
7,Myriame Manderly,N/A,N/A,N/A,N/A,Rodwell Stark,151
8,Hizdahr zo Loraq,N/A,N/A,N/A,N/A,N/A,N/A
9,Cerissa Brax,N/A,N/A,N/A,N/A,Damon Lannister,110
10,Alysanne Farman,N/A,N/A,N/A,N/A,Gerold Lannister,111
11,Roose Bolton,N/A,N/A,N/A,N/A,Walda Frey daugther of Merret,58
12,Ramsay Bolton,Roose Bolton,11,N/A,N/A,Sansa Stark,167
13,Catelyn Stark,Hoster Tully,14,Minisa Whent,21,Eddard Stark,163
14,Hoster Tully,N/A,N/A,N/A,N/A,Minisa Whent,21
15,Edmure Tully,Hoster Tully,14,Minisa Whent,21,Roslin Frey,51
16,Lysa Arryn,Hoster Tully,14,Minisa Whent,21,Jon Arryn,68
17,Jeyne Royce,N/A,N/A,N/A,N/A,Jon Arryn,68
18,Lya Serry,N/A,N/A,N/A,N/A,Theodore Tyrell,97
19,Perra Royce,N/A,N/A,N/A,N/A,Walder Frey,46
20,Myranda Lefford,N/A,N/A,N/A,N/A,Stafford Lannister,124
21,Minisa Whent,N/A,N/A,N/A,N/A,Hoster Tully,14
22,Olenna Redwyne,Runceford,200,N/A,N/A,Luthor Tyrell,94
23,Horas Redwyne,Paxter Redwyne,24,Mina Tyrell,104,N/A,N/A
24,Paxter Redwyne,N/A,N/A,N/A,N/A, Mina Tyrell,104
25,Hobber Redwyne,Paxter Redwyne,24,Mina Tyrell,104,N/A,N/A
26,Erik Ironmaker,N/A,N/A,N/A,N/A,N/A,N/A
28,Ormund Baratheon,N/A,N/A,N/A,N/A,Rhaelle Targaryen,199
29,Steffon Baratheon,Ormund Baratheon,28,Rhaelle Targaryen,199,Cassana Baratheon,30
30,Cassana Baratheon,N/A,N/A,N/A,N/A,Steffon Baratheon,29
31,Stannis Baratheon,Steffon Baratheon,29,Cassana Baratheon,30,Selyse Florent,32
32,Selyse Florent,N/A,N/A,N/A,N/A,Stannis Baratheon,31
33,Shireen Baratheon,Stannis Baratheon,31,Selyse Florent,32,N/A,N/A
34,Renly Baratheon,Steffon Baratheon,29,Cassana Baratheon,30,Margaery Tyrell,108
35,Robert Baratheon,Steffon Baratheon,29,Cassana Baratheon,30,Cersei Lannister,143
36,Myrcella Baratheon,Jaime Lannister,142,Cersei Lannister,143,N/A,N/A
37,Joffrey Baratheon,Jaime Lannister,142,Cersei Lannister,143,Margaery Tyrell,108
38,Tommen Baratheon,Jaime Lannister,142,Cersei Lannister,143,Margaery Tyrell,108
39,Willem Frey,Cleos Frey,41,Jeyne Dary,201,N/A,N/A
40,Tywin Frey,Cleos Frey,41,Jeyne Dary,201,N/A,N/A
41,Cleos Frey,Walder Frey son of Emmon,43,Genna Lannister,140,Jeyne Dary,201
42,Lyonel Frey,Emmon Frey,44,Genna Lannister,140,N/A,N/A
43,Walder Frey son of Emmon,Emmon Frey,44,Genna Lannister,140,N/A,N/A
44,Emmon Frey,Walder Frey,46,Perra Royce,19,Genna Lannister,140
45,Tion Frey,Emmon Frey,44,Genna Lannister,140,N/A,N/A
46,Walder Frey,N/A,N/A,N/A,N/A,"Amarei Crackhall, Perra Royce, Bethany Rosby","204, 19, 202"
47,Willamen Frey,Walder Frey,46,Bethany Rosby,202,N/A,N/A
48,Benfrey Frey,Walder Frey,46,Bethany Rosby,202,Jyanna Frey,49
